Track Name,Artist,Streams
"Iced Out My Arms (feat. Future, Migos, 21 Savage & T.I.)",DJ Khaled,1363780
Flex Like Ouu,Lil Pump,1358950
The Night We Met,Lord Huron,1356664
I’ll Make It Up To You,Imagine Dragons,1355073
Bad At Love,Halsey,1350480
Myself,NAV,1349744
Love On The Brain,Rihanna,1335904
"Perfect Pint (feat. Kendrick Lamar, Gucci Mane & Rae Sremmurd)",Mike WiLL Made-It,1332816
Craving You,Thomas Rhett,1326599
From The D To The A (feat. Lil Yachty),Tee Grizzley,1326293
Don't,Bryson Tiller,1325690
Reminder,The Weeknd,1319988
Rise Up,Imagine Dragons,1316730
The Way I Are (Dance with Somebody) (feat. Lil Wayne) - Spotify Version,Bebe Rexha,1311109
XXX. FEAT. U2.,Kendrick Lamar,1305311
Galway Girl,Ed Sheeran,1304904
I Love You so Much (feat. Chance the Rapper),DJ Khaled,1302459
What Ifs,Kane Brown,1301561
"How Far I'll Go - From ""Moana""",Alessia Cara,1298464
Chill Bill,Rob $tone,1289948
Skateboard P (feat. Big Sean),MadeinTYO,1285788
Exchange,Bryson Tiller,1274395
Patty Cake,Kodak Black,1273172
Yeah Right,Vince Staples,1268546
Get Right Witcha,Migos,1266744
Escápate Conmigo,Wisin,1261548
Trap Paris (feat. Quavo & Ty Dolla $ign),Machine Gun Kelly,1260969
Selfish,PnB Rock,1254750
Saved,Khalid,1252834
High Without Your Love,Loote,1245734
"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,1231927
Uh Huh,Julia Michaels,1228340
Two High,Moon Taxi,1226883
No Heart,21 Savage,1216000
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,1211100
Some Way,NAV,1207865
Ride,Twenty One Pilots,1205478
Teenage Fever,Drake,1193819
Heathens,Twenty One Pilots,1193344
No Flockin,Kodak Black,1189573
H.O.L.Y.,Florida Georgia Line,1182025
Nobody Else But You,Trey Songz,1177427
Panda,Desiigner,1174865
Side To Side,Ariana Grande,1170302
How Far I'll Go,Auli'i Cravalho,1168031
Ex Calling,6LACK,1141957
Come and See Me (feat. Drake),PARTYNEXTDOOR,1141894
Peek A Boo,Lil Yachty,1138525
Cold Water (feat. Justin Bieber & MØ),Major Lazer,1136566
Scared to Be Lonely,Martin Garrix,1136414
'Till I Collapse,Eminem,1135523
Call On Me - Ryan Riback Extended Remix,Starley,1132287
Party Monster,The Weeknd,1129336
"thank u, next",Ariana Grande,12871255
Mo Bamba,Sheck Wes,10101181
SICKO MODE,Travis Scott,9791023
ZEZE (feat. Travis Scott & Offset),Kodak Black,9054688
Drip Too Hard (Lil Baby & Gunna),Lil Baby,8965297
Without Me,Halsey,7448397
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,7046931
BAD!,XXXTENTACION,6702875
Lucid Dreams,Juice WRLD,6067883
Wake Up in the Sky,Gucci Mane,5734198
Armed And Dangerous,Juice WRLD,5713370
when the party's over,Billie Eilish,5508934
All I Want for Christmas Is You,Mariah Carey,5434887
come out and play,Billie Eilish,5233526
Happier,Marshmello,5204617
Leave Me Alone,Flipp Dinero,5166280
SAD!,XXXTENTACION,4955893
Better,Khalid,4944259
Arms Around You (feat. Maluma & Swae Lee),XXXTENTACION,4773411
FEFE (feat. Nicki Minaj & Murda Beatz),6ix9ine,4718915
Topanga,Trippie Redd,4695192
MIA (feat. Drake),Bad Bunny,4666245
Moonlight,XXXTENTACION,4594926
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,4562028
10 Freaky Girls (with 21 Savage),Metro Boomin,4482642
Better Now,Post Malone,4391679
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,4301078
Nonstop,Drake,4256664
Jingle Bell Rock,Bobby Helms,4218309
Money,Cardi B,4083127
Falling Down - Bonus Track,Lil Peep,3978398
lovely (with Khalid),Billie Eilish,3946671
Santa Tell Me,Ariana Grande,3918460
Fine China,Future,3909645
It's the Most Wonderful Time of the Year,Andy Williams,3832859
"Never Recover (Lil Baby & Gunna, Drake)",Lil Baby,3735708
Taste (feat. Offset),Tyga,3725803
TIC TOC (feat. Lil Baby),6ix9ine,3578216
KIKA (feat. Tory Lanez),6ix9ine,3574377
Yes Indeed,Lil Baby,3573526
Jocelyn Flores,XXXTENTACION,3573518
Eastside (with Halsey & Khalid),benny blanco,3461848
Don't Come Out The House (with 21 Savage),Metro Boomin,3452559
"MAMA (feat. Nicki Minaj, Kanye West)",6ix9ine,3446791
WAKA (feat. A Boogie Wit da Hoodie),6ix9ine,3270802
1400 / 999 Freestyle,Trippie Redd,3266811
Fuck Love (feat. Trippie Redd),XXXTENTACION,3220758
Space Cadet (feat. Gunna),Metro Boomin,3204498
bellyache,Billie Eilish,3191302
All Girls Are The Same,Juice WRLD,3157282
idontwannabeyouanymore,Billie Eilish,3155068
Close To Me (with Diplo) (feat. Swae Lee),Ellie Goulding,3097051
Shallow,Lady Gaga,3091441
Bohemian Rhapsody - Remastered 2011,Queen,3091331
breathin,Ariana Grande,3044843
No Stylist,French Montana,3010464
Lean Wit Me,Juice WRLD,2987358
STOOPID,6ix9ine,2981356
It's Beginning to Look a Lot Like Christmas,Michael Bublé,2961238
A Holly Jolly Christmas - Single Version,Burl Ives,2896141
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,2888915
Last Christmas,Wham!,2885619
High Hopes,Panic! At The Disco,2874153
In My Feelings,Drake,2865343
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,2833811
I Fall Apart,Post Malone,2832120
Ruin My Life,Zara Larsson,2801083
Noticed,Lil Mosey,2788705
Do They Know It's Christmas? - 1984 Version,Band Aid,2771919
I Love It (& Lil Pump),Kanye West,2768231
rockstar (feat. 21 Savage),Post Malone,2758596
changes,XXXTENTACION,2745130
I Like It,Cardi B,2713999
Holly Jolly Christmas,Michael Bublé,2709987
The Christmas Song (Merry Christmas To You),Nat King Cole,2678780
White Christmas,Bing Crosby,2665641
Psycho (feat. Ty Dolla $ign),Post Malone,2662623
Youngblood,5 Seconds of Summer,2657163
Bad Liar,Imagine Dragons,2635750
ocean eyes,Billie Eilish,2613745
BEBE,6ix9ine,2594932
Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,2565699
God's Plan,Drake,2529242
Happy Now,Kygo,2526860
New Patek,Lil Uzi Vert,2524462
God is a woman,Ariana Grande,2495725
Mistletoe,Justin Bieber,2489842
Take One,Kodak Black,2453150
YOSEMITE,Travis Scott,2396599
STARGAZING,Travis Scott,2383086
REEL IT IN,Aminé,2378955
WORKIN ME,Quavo,2375946
Everybody Dies In Their Nightmares,XXXTENTACION,2338058
Beautiful (feat. Camila Cabello),Bazzi,2336104
Lucky You (feat. Joyner Lucas),Eminem,2334834
Ric Flair Drip (& Metro Boomin),Offset,2323347
Girls Like You (feat. Cardi B),Maroon 5,2303026
Natural,Imagine Dragons,2293783
Lonesome Train,Stan Kenton,2266008
Look Alive (feat. Drake),BlocBoy JB,2265629
no tears left to cry,Ariana Grande,2250247
XO TOUR Llif3,Lil Uzi Vert,2225942
Uproar,Lil Wayne,2192717
Mona Lisa (feat. Kendrick Lamar),Lil Wayne,2180545
Trip,Ella Mai,2140934
TATI,6ix9ine,2140250
Blue Christmas,Elvis Presley,2139224
Woman Like Me (feat. Nicki Minaj),Little Mix,2138265
Saturday Nights,Khalid,2113672
Wasted (feat. Lil Uzi Vert),Juice WRLD,2109526
Underneath the Tree,Kelly Clarkson,2100571
Have Yourself A Merry Little Christmas,Sam Smith,2092887
Nice For What,Drake,2084777
KANGA (feat. Kanye West),6ix9ine,2072695
Plug Walk,Rich The Kid,2030549
This Feeling (feat. Kelsea Ballerini),The Chainsmokers,2013464
SLOW DANCING IN THE DARK,Joji,1999786
you should see me in a crown,Billie Eilish,1991356
Love Lies (with Normani),Khalid,1990441
goosebumps,Travis Scott,1978310
Congratulations,Post Malone,1962943
Close Friends (Lil Baby & Gunna),Lil Baby,1932280
Kamikaze,Lil Mosey,1928987
Casper,Takeoff,1927781
Sundress,A$AP Rocky,1918806
FEEFA (feat. Gunna),6ix9ine,1904652
Feliz Navidad,José Feliciano,1900523
I Found You (with Calvin Harris),benny blanco,1899659
Hope,XXXTENTACION,1898337
Happy Xmas (War Is Over) - Remastered,John Lennon,1887577
Look At Me!,XXXTENTACION,1878107
Taking A Walk,Trippie Redd,1877584
the remedy for a broken heart (why am I so in love),XXXTENTACION,1871941
Sweet but Psycho,Ava Max,1869409
Santa Baby,Ariana Grande,1855809
Lust,Lil Skies,1855363
"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,1850224
Don't Stop Me Now - Remastered,Queen,1847015
Walk,Comethazine,1835520
Another One Bites The Dust - Remastered 2011,Queen,1830417
Somebody To Love - Remastered 2011,Queen,1827648
Speechless,Dan + Shay,1808402
Santa Baby (with Henri René & His Orchestra),Eartha Kitt,1806136
Be Alright,Dean Lewis,1801131
Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,1772661
I Like Me Better,Lauv,1768054
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,1764355
Kiss and Make Up,Dua Lipa,1756578
HUMBLE.,Kendrick Lamar,1748992
Love Scars 3,Trippie Redd,1748208
Self Care,Mac Miller,1747548
Te Boté - Remix,Nio Garcia,1743299
bitches broken hearts,Billie Eilish,1732911
Best Part (feat. Daniel Caesar),H.E.R.,1728822
Beach House,The Chainsmokers,1720835
Winter Wonderland,Bing Crosby,1711387
Young Dumb & Broke,Khalid,1705258
Run Rudolph Run - Single Version,Chuck Berry,1703985
FeRRis WhEEL (feat. Trippie Redd),Tory Lanez,1701015
Nowadays (feat. Landon Cube),Lil Skies,1700650
Mine,Bazzi,1700066
Hard Work Pays Off,Future,1692577
Dip (feat. Nicki Minaj),Tyga,1677992
Roll In Peace (feat. XXXTENTACION),Kodak Black,1665049
Let It Snow! Let It Snow! Let It Snow!,Dean Martin,1656488
Legends,Juice WRLD,1655029
Black & White,Juice WRLD,1648777
Murder On My Mind,YNW Melly,1644867
Hurts Like Hell (feat. Offset),Madison Beer,1641372
Candy Paint,Post Malone,1639826
Location,Khalid,1624695
Tequila,Dan + Shay,1611932
Uptown Vibes (feat. Fabolous & Anuel AA),Meek Mill,1610165
my boy,Billie Eilish,1609880
JAPAN,Famous Dex,1607969
Killshot,Eminem,1607410
Waste It On Me (feat. BTS),Steve Aoki,1604164
Off Deez (with J. Cole),JID,1598599
Walk It Talk It,Migos,1590116
Carol of the Bells,Mykola Dmytrovych Leontovych,1580131
Shake It Up,Trippie Redd,1578739
BUTTERFLY EFFECT,Travis Scott,1574810
COPYCAT,Billie Eilish,1569286
Drew Barrymore,Bryce Vine,1567498
Santa Claus Is Coming to Town,Michael Bublé,1564029
Let You Down,NF,1532672
The Middle,Zedd,1527472
Sleigh Ride,The Ronettes,1512693
Under Pressure - Remastered,Queen,1510084
OTW,Khalid,1497694
Red Roses (feat. Landon Cube),Lil Skies,1492245
Suncity (feat. Empress Of),Khalid,1489425
Believer,Imagine Dragons,1483881
Last Memory,Takeoff,1466601
I Love,Joyner Lucas,1465921
Thunder,Imagine Dragons,1465785
I'm Not Goin' (feat. Kevin Gates),Gucci Mane,1464095
Hallelujah,Pentatonix,1454894
Sin (feat. Jaden Smith),Young Thug,1453187
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry,1450945
rockstar,Post Malone,12722566
Gucci Gang,Lil Pump,8786208
I Fall Apart,Post Malone,7141154
Havana,Camila Cabello,6175956
Candy Paint,Post Malone,6172064
Ric Flair Drip (& Metro Boomin),Offset,6129485
No Limit,G-Eazy,5982425
Plain Jane,A$AP Ferg,5963090
Bank Account,21 Savage,5845017
Too Good At Goodbyes,Sam Smith,5619244
Wolves,Selena Gomez,5211212
MotorSport,Migos,5131897
Perfect,Ed Sheeran,5057808
XO TOUR Llif3,Lil Uzi Vert,4923983
1-800-273-8255,Logic,4863270
Young Dumb & Broke,Khalid,4862860
Let You Down,NF,4854094
I Get The Bag (feat. Migos),Gucci Mane,4715808
All I Want for Christmas Is You,Mariah Carey,4531340
What Lovers Do (feat. SZA),Maroon 5,4519168
Congratulations,Post Malone,4419783
New Rules,Dua Lipa,4321759
Meant to Be (feat. Florida Georgia Line),Bebe Rexha,4135890
Silence,Marshmello,4089164
"Let Me Go (with Alesso, Florida Georgia Line & watt)",Hailee Steinfeld,4015430
Bodak Yellow,Cardi B,3985938
PICK IT UP (feat. A$AP Rocky),Famous Dex,3979714
Betrayed,Lil Xan,3959804
Ghostface Killers,21 Savage,3873297
Bad At Love,Halsey,3854693
Roll In Peace (feat. XXXTENTACION),Kodak Black,3671437
HUMBLE.,Kendrick Lamar,3670915
BUTTERFLY EFFECT,Travis Scott,3550140
Jocelyn Flores,XXXTENTACION,3490704
Unforgettable,French Montana,3466926
goosebumps,Travis Scott,3464212
Sorry Not Sorry,Demi Lovato,3406360
Wanted You (feat. Lil Uzi Vert),NAV,3399941
LOVE. FEAT. ZACARI.,Kendrick Lamar,3341882
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,3304539
Fuck Love (feat. Trippie Redd),XXXTENTACION,3293820
Thunder,Imagine Dragons,3288125
Location,Khalid,3166471
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,3103865
How Long,Charlie Puth,3017286
Drowning (feat. Kodak Black),A Boogie Wit da Hoodie,3008327
Slippery (feat. Gucci Mane),Migos,3007974
Codeine Dreaming (feat. Lil Wayne),Kodak Black,2820196
Dusk Till Dawn - Radio Edit,ZAYN,2758846
Rake It Up,Yo Gotti,2743339
Rubbin Off The Paint,YBN Nahmir,2739217
Feel It Still,Portugal. The Man,2639102
Go Flex,Post Malone,2628340
It's the Most Wonderful Time of the Year,Andy Williams,2566225
The Race,Tay-K,2542586
Échame La Culpa,Luis Fonsi,2512148
I Miss You (feat. Julia Michaels),Clean Bandit,2432515
GUMMO,6ix9ine,2425888
Last Christmas,Wham!,2413981
Wait,Maroon 5,2334195
Jingle Bell Rock,Anita Kerr Singers,2329153
Havana - Remix,Camila Cabello,2291703
Sky Walker (feat. Travis Scott),Miguel,2274191
Relationship (feat. Future),Young Thug,2220421
Believer,Imagine Dragons,2207714
New Freezer (feat. Kendrick Lamar),Rich The Kid,2191522
DNA.,Kendrick Lamar,2170532
MIC Drop (feat. Desiigner) [Steve Aoki Remix],BTS,2163684
Magnolia,Playboi Carti,2154274
White Iverson,Post Malone,2149540
Redbone,Childish Gambino,2141235
Transportin',Kodak Black,2138248
Shape of You,Ed Sheeran,2105883
Sauce It Up,Lil Uzi Vert,2075245
Love Galore (feat. Travis Scott),SZA,2074056
A Holly Jolly Christmas - Single Version,Burl Ives,2065323
Mi Gente,J Balvin,2050470
"Pills & Automobiles (feat. Yo Gotti, A Boogie Wit Da Hoodie & Kodak Black)",Chris Brown,2024755
Let It Snow! Let It Snow! Let It Snow! (with The B. Swanson Quartet),Frank Sinatra,2021797
Body Like A Back Road,Sam Hunt,2020324
Losin Control,Russ,2017859
Walk On Water (feat. Beyoncé),Eminem,2001219
Attention,Charlie Puth,1998249
Mask Off,Future,1994091
Pray,Sam Smith,1982892
Everybody Dies In Their Nightmares,XXXTENTACION,1950654
"Home (with Machine Gun Kelly, X Ambassadors & Bebe Rexha)",Machine Gun Kelly,1937958
The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,1933276
It's A Vibe,2 Chainz,1894954
Stargazing,Kygo,1849092
Tip Toe (feat. French Montana),Jason Derulo,1846373
Despacito - Remix,Luis Fonsi,1794108
Say You Won't Let Go,James Arthur,1786774
The Weekend,SZA,1779278
White Christmas,Bing Crosby,1777524
What Ifs,Kane Brown,1752793
The Christmas Song (Merry Christmas To You),Nat King Cole,1747501
Praying,Kesha,1743416
Christmas Time Is Here - Vocal,Vince Guaraldi Trio,1725974
Do They Know It's Christmas? - 1984 Version,Band Aid,1719758
iSpy (feat. Lil Yachty),KYLE,1701049
...Ready For It?,Taylor Swift,1697744
Good Old Days (feat. Kesha),Macklemore,1696461
Tunnel Vision,Kodak Black,1689522
I Like Me Better,Lauv,1689230
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,1688872
Strip That Down,Liam Payne,1686010
It's Beginning to Look a Lot Like Christmas,Michael Bublé,1685571
Bad and Boujee (feat. Lil Uzi Vert),Migos,1677092
Glorious (feat. Skylar Grey),Macklemore,1674044
Look What You Made Me Do,Taylor Swift,1671122
Slow Hands,Niall Horan,1668711
Crew (feat. Brent Faiyaz & Shy Glizzy),GoldLink,1653456
Blue Christmas,Elvis Presley,1643235
Carol of the Bells,Mykola Dmytrovych Leontovych,1636167
Homemade Dynamite - REMIX,Lorde,1633733
LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,1630737
wokeuplikethis*,Playboi Carti,1628187
Bounce Back,Big Sean,1627088
Icon,Jaden,1614792
Get It Right (feat. MØ),Diplo,1606767
That's What I Like,Bruno Mars,1593498
It's Beginning to Look a Lot Like Christmas (with Mitchell Ayres & His Orchestra),Perry Como,1583080
beibs in the trap,Travis Scott,1581513
Passionfruit,Drake,1578131
No Role Modelz,J. Cole,1575654
Downtown,Anitta,1569554
Lonely Together (feat. Rita Ora),Avicii,1568882
Look At Me!,XXXTENTACION,1568569
Winter Wonderland,Bing Crosby,1567786
Unforgettable,Thomas Rhett,1563518
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,1555743
T-Shirt,Migos,1552248
do re mi,blackbear,1541255
Rap Saved Me,21 Savage,1530453
Feliz Navidad,José Feliciano,1519525
PRBLMS,6LACK,1514376
Save That Shit,Lil Peep,1483183
Mistletoe,Justin Bieber,1482429
Patek Water,Future,1479260
Lemon,N.E.R.D,1470775
Feels Great (feat. Fetty Wap & CVBZ),Cheat Codes,1470062
No Option,Post Malone,1464575
New,Daya,1455893
Boss,Lil Pump,1447496
First Day Out,Tee Grizzley,1428466
Santa Tell Me,Ariana Grande,1424484
There's Nothing Holdin' Me Back,Shawn Mendes,1422518
Naked,James Arthur,1420804
Santa Baby (with Henri René & His Orchestra),Eartha Kitt,1414072
Run Rudolph Run - Single Version,Chuck Berry,1413625
Starboy,The Weeknd,1412018
Myself,NAV,1407048
4 AM,2 Chainz,1405050
Swang,Rae Sremmurd,1397123
Pull Up N Wreck (With Metro Boomin),Big Sean,1396751
Perplexing Pegasus,Rae Sremmurd,1395238
When It Rains It Pours,Luke Combs,1391396
Ex Calling,6LACK,1385860
My Choppa Hate Niggas,21 Savage,1382817
Se Preparó,Ozuna,1380716
do re mi (feat. Gucci Mane),blackbear,1380526
Mi Gente (feat. Beyoncé),J Balvin,1378843
Die For You,The Weeknd,1378085
X (feat. Future),21 Savage,1370078
Don't,Bryson Tiller,1356353
Closer,The Chainsmokers,1352055
Exchange,Bryson Tiller,1350096
In Case You Didn't Know,Brett Young,1349955
Broccoli (feat. Lil Yachty),DRAM,1348212
Caroline,Aminé,1340184
Something Just Like This,The Chainsmokers,1332071
Hallelujah,Pentatonix,1327700
No Smoke,YoungBoy Never Broke Again,1325888
Money Longer,Lil Uzi Vert,1325321
What They Want,Russ,1323723
Fake Love,Drake,1321862
Wonderful Christmastime - Remastered 2011 / Edited Version,Paul McCartney,1321007
Happy Xmas (War Is Over) - Remastered,John Lennon,1320545
Greatest Love Story,LANCO,1317355
Rudolph The Red-Nosed Reindeer,Burl Ives,1310517
From The D To The A (feat. Lil Yachty),Tee Grizzley,1305971
Sensualidad,Bad Bunny,1299713
All Falls Down (feat. Juliander),Alan Walker,1296114
Love Scars,Trippie Redd,1285784
Heartache On The Dance Floor,Jon Pardi,1278781
Issues,Julia Michaels,1269707
All Night,Steve Aoki,1261689
Portland,Drake,1260890
Stranger Things,Kygo,1260798
Both (feat. Drake),Gucci Mane,1258381
Bust Down,Trippie Redd,1256585
Saved,Khalid,1255767
Now Or Never,Halsey,1243257
Questions,Chris Brown,1242728
20 Min,Lil Uzi Vert,1241699
"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",ZAYN,1240347
Man's Not Hot,Big Shaq,1233057
Mayores,Becky G,1229374
No Problem (feat. Lil Wayne & 2 Chainz),Chance the Rapper,1227623
Despacito - Remix,Luis Fonsi,12033134
HUMBLE.,Kendrick Lamar,11062142
XO TOUR Llif3,Lil Uzi Vert,10332494
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled,9874177
Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,8306315
Unforgettable,French Montana,7724460
Congratulations,Post Malone,7709656
Mask Off,Future,6428682
Redbone,Childish Gambino,6281344
DNA.,Kendrick Lamar,5777568
Location,Khalid,5635226
2U (feat. Justin Bieber),David Guetta,5511761
Magnolia,Playboi Carti,5472040
1-800-273-8255,Logic,5361930
Stay (with Alessia Cara),Zedd,4997174
That's What I Like,Bruno Mars,4915850
goosebumps,Travis Scott,4752099
Body Like A Back Road,Sam Hunt,4706619
Feels,Calvin Harris,4625030
Now Or Never,Halsey,4590892
Slippery (feat. Gucci Mane),Migos,4510841
4 AM,2 Chainz,4480859
Attention,Charlie Puth,4440732
Shape of You,Ed Sheeran,4435893
LOVE. FEAT. ZACARI.,Kendrick Lamar,4423268
Strip That Down,Liam Payne,4421861
Believer,Imagine Dragons,4379146
