track_name,artist_name,released_on,streams,bb_hot_100_peak,sp_top_200_peak,genres,artist_popularity,artist_followers,month_released
Pull Up N Wreck (With Metro Boomin),Big Sean,2017-11-03,6515462,80,79,detroit hip hop hip hop pop pop rap r&b rap southern hip hop trap music,84,6064850,11
Pure Cocaine,Lil Baby,2018-11-30,62506429,46,52,atl hip hop atl trap rap trap music,88,2073903,11
Pure Water (with Migos),Mustard,2019-01-16,78912448,23,13,cali rap hip hop pop pop rap rap southern hip hop trap music,80,383415,1
Questions,50 Cent,2003-02-06,28815841,78,68,east coast hip hop gangster rap hip hop pop rap rap,83,5270288,2
R.E.M,Ariana Grande,2018-08-17,8598570,72,29,dance pop pop post-teen pop,97,29083691,8
RONDO,Quando Rondo,2018-05-29,7595759,73,35,trap music,73,353042,5
Racks In The Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,2019-02-15,19518826,26,33,conscious hip hop hip hop pop rap rap southern hip hop trap music,84,871931,2
Rainbow,Kacey Musgraves,2018-03-30,2937735,98,157,contemporary country country dawn dance pop,78,498469,3
Rake It Up,Yo Gotti,2017-10-27,104147695,8,21,dirty south rap gangster rap hip hop memphis hip hop pop pop rap rap southern hip hop trap music,77,2369979,10
Rap Saved Me,21 Savage,2017-10-30,9081519,64,68,atl hip hop rap trap music,90,6057549,10
Ratchet Happy Birthday,Drake,2018-06-29,11985056,51,27,canadian hip hop canadian pop hip hop pop rap rap,97,36572162,6
Ready (feat. Gunna),Lil Baby,2018-11-30,2956429,66,75,atl hip hop atl trap rap trap music,88,2073903,11
Reborn,KIDS SEE GHOSTS,2018-06-08,25455008,39,7,hip hop pop rap rap,71,248416,6
Reborn To Rebel,Ski Mask The Slump God,2018-11-30,1788100,39,191,miami hip hop rap trap music underground hip hop,84,2116385,11
Red Room,Offset,2019-02-14,38213186,49,22,atl hip hop pop pop rap rap trap music,90,1099110,2
Red Roses (feat. Landon Cube),Lil Skies,2017-12-12,120075733,69,38,trap music,86,2567952,12
Redbone,Childish Gambino,2016-12-02,233773375,12,9,atl hip hop hip hop pop rap rap,82,4924653,12
Relationship (feat. Future),Young Thug,2017-06-16,85037491,65,55,atl hip hop atl trap gangster rap hip hop pop pop rap rap southern hip hop trap music,86,4017071,6
Reminder,The Weeknd,2016-11-25,44856865,65,53,canadian contemporary r&b canadian pop pop rap,91,15691953,11
Reminder - Remix,The Weeknd,2017-08-01,4786718,65,75,canadian contemporary r&b canadian pop pop rap,91,15691953,8
Rent Money,Future,2017-06-30,18473939,54,24,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,6
Respect The Game,Meek Mill,2018-11-30,2776325,57,92,hip hop philly rap pop pop rap rap southern hip hop trap music,86,3138302,11
Revenge,XXXTENTACION,2017-08-25,34790582,77,25,emo rap miami hip hop,94,12748626,8
Ric Flair Drip (& Metro Boomin),21 Savage,2017-10-30,307214905,13,4,atl hip hop rap trap music,90,6057549,10
Rich & Sad,Post Malone,2018-04-27,73248117,14,5,pop rap,96,13676404,4
Rich & Sad,Post Malone,2018-04-27,73248117,62,5,pop rap,96,13676404,4
Rich Love (with Seeb),OneRepublic,2017-07-14,21119215,62,60,dance pop neo mellow piano rock pop pop rap pop rock post-teen pop,83,7531186,7
Rich Sex (feat. Lil Wayne),Nicki Minaj,2018-08-10,5641995,56,96,dance pop hip pop pop pop rap post-teen pop r&b,91,15163011,8
Rich Sex (feat. Lil Wayne),Nicki Minaj,2018-08-10,5641995,62,96,dance pop hip pop pop pop rap post-teen pop r&b,91,15163011,8
Richard Millie Plain,Gunna,2019-02-22,1770968,62,168,atl hip hop hip hop pop rap rap southern hip hop trap music,88,1058877,2
Right Back,Khalid,2019-04-05,5855830,93,43,pop,97,6290476,4
Ring (feat. Kehlani),Cardi B,2018-04-06,23247377,28,30,pop rap,92,7971812,4
Ring Ring (with Rvssian feat. Clever),Juice WRLD,2019-03-08,4998673,28,61,chicago rap,93,4166466,3
River (feat. Ed Sheeran),Eminem,2017-12-15,58694826,11,2,detroit hip hop g funk hip hop rap,94,26562341,12
Robbery,Juice WRLD,2019-03-08,81561296,27,3,chicago rap,93,4166466,3
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,59024213,9,32,dance pop edm pop post-teen pop tropical house uk dance uk funky,83,2682979,10
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,2016-10-21,59024213,95,32,dance pop edm pop post-teen pop tropical house uk dance uk funky,83,2682979,10
Rocket Ship,Future,2019-01-18,2080200,79,122,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,1
Rocket Ship,Future,2019-01-18,2080200,95,122,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772825,1
Rockin' Around The Christmas Tree,Brenda Lee,1964-10-19,23783479,9,10,adult standards brill building pop christmas easy listening lounge rockabilly,54,115993,10
Rockin' Around The Christmas Tree,Brenda Lee,1964-10-19,23783479,95,10,adult standards brill building pop christmas easy listening lounge rockabilly,54,115993,10
Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,Miley Cyrus,2017-11-29,1435369,9,184,dance pop pop post-teen pop,84,8638324,11
Rockin' Around The Christmas Tree - Recorded at Spotify Studios NYC,Miley Cyrus,2017-11-29,1435369,95,184,dance pop pop post-teen pop,84,8638324,11
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,1999-01-01,32706343,9,9,adult standards brill building pop christmas easy listening lounge rockabilly,54,115993,1
Rockin' Around The Christmas Tree - Single Version,Brenda Lee,1999-01-01,32706343,95,9,adult standards brill building pop christmas easy listening lounge rockabilly,54,115993,1
Rockin’,The Weeknd,2016-11-25,6162510,95,124,canadian contemporary r&b canadian pop pop rap,91,15691953,11
Rolex,Ayo & Teo,2017-03-15,80933403,20,37,trap music,65,579995,3
Roll In Peace (feat. XXXTENTACION),Kodak Black,2017-08-18,190143763,31,24,miami hip hop rap trap music,88,4655966,8
Rollin,Calvin Harris,2017-05-12,14068460,62,39,edm electro house house pop progressive house uk dance,90,16541963,5
Rollin (feat. Future & Khalid),Calvin Harris,2017-06-30,43739349,62,16,edm electro house house pop progressive house uk dance,90,16541963,6
Roses,Mabel,2019-01-18,9559342,85,128,dance pop pop post-teen pop r&b tropical house uk pop,83,234859,1
Roses (with Juice WRLD feat. Brendon Urie),benny blanco,2018-12-05,51775796,85,46,dance pop electropop pop tropical house,84,236513,12
Rubbin Off The Paint,YBN Nahmir,2018-09-07,72881129,46,51,rap trap music vapor trap,75,1559654,9
Rudolph The Red-Nosed Reindeer,Burl Ives,1965-01-01,14571749,16,89,adult standards american folk revival christmas lounge,46,26655,1
Ruin My Life,Zara Larsson,2018-10-18,43193727,76,43,dance pop edm electropop pop post-teen pop r&b scandipop swedish electropop swedish pop tropical house,84,5028891,10
Rule The World (feat. Ariana Grande),2 Chainz,2019-03-01,4734459,94,58,atl hip hop hip hop pop pop rap rap southern hip hop trap music,86,4485183,3
Run Me Dry,Bryson Tiller,2017-05-26,22534771,91,65,hip hop pop pop rap r&b rap trap music,80,3361954,5
Run Rudolph Run - Single Version,Chuck Berry,1986-01-01,23937007,45,51,christmas classic rock folk rock rock rock-and-roll rockabilly soul,67,859561,1
Run Up (feat. PARTYNEXTDOOR & Nicki Minaj),Isabella Perone,2017-02-18,36988229,66,26,,14,42,2
Run Up the Racks,21 Savage,2017-10-30,1412166,66,159,atl hip hop rap trap music,90,6057549,10
Running Back (feat. Lil Wayne),Wale,2017-04-28,23113366,100,100,dance pop gangster rap hip hop pop pop rap r&b rap southern hip hop trap music urban contemporary,75,1983972,4
SOS,Avicii,2019-04-10,19843448,68,11,big room dance pop edm pop,90,13245074,4
STOOPID,Slightly Stoopid,2005-01-01,34283653,25,9,jam band reggae fusion reggae rock,67,388814,1
STOOPID (feat. Bobby Shmurda),8-Bit Arcade,2018-10-23,3901444,25,136,scorecore,45,18651,10
Sacrifices,Drake,2017-03-18,36513202,36,12,canadian hip hop canadian pop hip hop pop rap rap,97,36572166,3
Saint,Huncho Jack,2017-12-21,22977230,92,33,hip hop pop pop rap rap southern hip hop trap music underground hip hop,70,419964,12
Saint Laurent Mask,Huncho Jack,2017-12-21,2619988,92,72,hip hop pop pop rap rap southern hip hop trap music underground hip hop,70,419964,12
SaintLaurentYSL (feat. Lil Baby),Lil Yachty,2018-10-19,2179933,92,108,atl hip hop pop rap rap southern hip hop trap music,85,4948346,10
Same Bitches (feat. G-Eazy & YG),Post Malone,2018-04-27,38716535,20,13,pop rap,96,13676409,4
Sangria Wine,Pharrell Williams,2018-05-18,6729166,83,51,dance pop pop pop rap,81,2745308,5
Sanguine Paradise,Lil Uzi Vert,2019-04-09,30497785,28,6,philly rap rap trap music,90,6283574,4
Saturday Nights,Khalid,2018-10-19,104709985,57,14,pop,97,6290476,10
Sauce It Up,Lil Uzi Vert,2017-08-25,74953197,49,23,philly rap rap trap music,90,6283574,8
Sauce!,XXXTENTACION,2019-01-23,15180264,89,28,emo rap miami hip hop,94,12748626,1
Save Me,Train,2010-12-01,12482228,94,40,dance pop neo mellow pop pop rock,77,2760149,12
Say A',A Great Big World,2014-01-17,12813712,75,66,neo mellow piano rock pop rock,70,327120,1
Say Amen (Saturday Night),Panic! At The Disco,2018-06-22,12012949,60,54,emo modern rock pop punk,88,6824780,6
Say It (feat. Tove Lo),Flume,2016-05-27,4425736,94,150,australian dance australian electropop australian indie downtempo edm pop,77,1709583,5
Say It First,Sam Smith,2017-11-03,1413532,94,158,pop post-teen pop,90,8454480,11
Say Something,A Great Big World,2014-01-17,47901665,9,16,neo mellow piano rock pop rock,70,327120,1
Say Something Loving,The xx,2017-01-13,1066106,9,185,downtempo dream pop indie rock indietronica pop,73,3107424,1
Say You Won't Let Go,James Arthur,2016-10-28,209069254,11,15,dance pop pop post-teen pop talent show,85,3910352,10
Scars To Your Beautiful,Alessia Cara,2015-11-13,33307256,8,33,canadian contemporary r&b dance pop electropop pop post-teen pop r&b,84,5237441,11
Secreto,Anuel Aa,2019-01-15,32680576,68,92,reggaeton flow trap latino,94,5964121,1
Self Care,Mac Miller,2018-08-03,38643426,33,10,hip hop pittsburgh rap pop rap rap,84,3147133,8
Self-Made,Bryson Tiller,2017-05-26,3691359,85,68,hip hop pop pop rap r&b rap trap music,80,3361954,5
Selfish,PnB Rock,2017-01-13,56049673,37,47,hip hop pop pop rap rap southern hip hop trap music,83,1884321,1
Selfish (feat. Rihanna),Sing-a-Long Hits,2017-06-12,65132403,37,24,,5,22,6
Shallow,Lady Gaga,2018-10-05,122956778,1,10,dance pop pop,90,7502474,10
She Bad,Cardi B,2018-04-06,7722734,57,46,pop rap,92,7971813,4
Shining (feat. Beyoncé & Jay-Z),DJ Khaled,2017-06-22,7803958,57,101,dance pop hip hop miami hip hop pop pop rap r&b rap southern hip hop trap music,79,3887499,6
Shoota (feat. Lil Uzi Vert),Playboi Carti,2018-05-11,72703034,46,27,atl hip hop hip hop pop pop rap rap southern hip hop trap music underground hip hop,82,2278370,5
Shotta Flow,NLE Choppa,2019-01-17,17070612,82,61,,75,88739,1
Sick Boy,The Chainsmokers,2018-12-14,27096752,65,21,dance pop edm electropop pop tropical house,89,12074119,12
Side Effects (feat. Emily Warren),8-Bit Arcade,2018-09-03,10990845,66,95,scorecore,45,18651,9
Side To Side,Ariana Grande,2016-05-20,52453714,6,23,dance pop pop post-teen pop,97,29083700,5
Signs,Drake,2017-06-23,49135425,36,8,canadian hip hop canadian pop hip hop pop rap rap,97,36572172,6
Silence,Marshmello,2017-08-11,191334571,30,10,brostep egyptian pop progressive electro house,92,11832624,8
Simple,Florida Georgia Line,2019-02-15,47087799,32,56,contemporary country country country pop country road modern country rock,84,2797470,2
Sin Pijama,Becky G,2018-04-20,15411329,70,101,latin viral pop pop reggaeton,85,4870221,4
Since Way Back,Drake,2017-03-18,10826390,70,40,canadian hip hop canadian pop hip hop pop rap rap,97,36572172,3
Singles You Up,Jordan Davis,2018-03-23,25566609,50,124,contemporary country country pop,70,112795,3
Sixteen,Ellie Goulding,2019-04-12,10176101,42,80,dance pop electropop metropopolis pop post-teen pop tropical house,86,6436502,4
Skepta Interlude,Drake,2017-03-18,11258381,76,36,canadian hip hop canadian pop hip hop pop rap rap,97,36572172,3
Sky Walker (feat. Travis Scott),Miguel,2017-12-01,114144627,29,21,dance pop pop pop rap r&b rap urban contemporary,82,2243772,12
Slide (feat. Blueface & Lil Tjay),French Montana,2019-04-16,3789312,25,132,hip hop pop pop rap rap southern hip hop trap music,85,2694824,4
Slide (feat. Frank Ocean & Migos),Calvin Harris,2017-02-24,145492085,25,8,edm electro house house pop progressive house uk dance,90,16541963,2
Slippery (feat. Gucci Mane),Migos,2017-01-27,192632704,29,21,atl hip hop pop pop rap rap southern hip hop trap music,87,8747515,1
Slow Hands,Niall Horan,2017-10-20,100890392,11,28,australian pop dance pop neo mellow pop post-teen pop,78,3646474,10
Small Town Boy,Dustin Lynch,2017-09-08,39699114,36,87,contemporary country country country road modern country rock,73,1014487,9
Sober,Childish Gambino,2014-10-03,22405084,47,52,atl hip hop hip hop pop rap rap,82,4924653,10
Sober II (Melodrama),Lorde,2017-11-10,1595181,47,122,art pop dance pop electropop metropopolis nz pop pop,79,4338178,11
Sober Up,AJR,2017-06-09,18243549,47,116,modern rock pop,80,752400,6
Solo,JENNIE,2018-11-12,1425725,58,147,k-hop k-pop,69,195332,11
Solo (feat. Demi Lovato),Clean Bandit,2018-05-17,47647967,58,41,dance pop edm pop post-teen pop tropical house uk dance uk funky,83,2682979,5
Solo Dance,Martin Jensen,2016-11-04,33919971,58,76,dance pop edm electro house pop pop edm tropical house,76,463650,11
Solo de Mi,Bad Bunny,2018-12-14,21885960,58,55,reggaeton trap latino,93,12479703,12
Solo de Mi,Bad Bunny,2018-12-14,21885960,93,55,reggaeton trap latino,93,12479703,12
Some Kind Of Drug,G-Eazy,2015-12-04,32294879,97,39,hip hop indie pop rap pop pop rap rap,86,3867505,12
Somethin Tells Me,Bryson Tiller,2017-05-26,3387559,74,109,hip hop pop pop rap r&b rap trap music,80,3361954,5
Something Just Like This,The Chainsmokers,2017-04-07,157252965,3,2,dance pop edm electropop pop tropical house,89,12074119,4
Something New (feat. Ty Dolla $ign),Wiz Khalifa,2018-07-13,1294368,92,150,hip hop pittsburgh rap pop pop rap rap southern hip hop trap music,88,8130441,7
Sorry Not Sorry,Demi Lovato,2017-09-29,170937996,6,9,dance pop pop post-teen pop r&b,86,13641103,9
Space Cadet (feat. Gunna),Metro Boomin,2018-11-06,85487099,51,20,hip hop pop pop rap rap southern hip hop trap music,85,1259993,11
Speechless,Dan + Shay,2018-05-18,75829073,24,85,contemporary country,79,875115,5
Speed It Up,Gunna,2019-02-11,16133149,91,55,atl hip hop hip hop pop rap rap southern hip hop trap music,88,1058878,2
"Splash Warning (feat. Future, Roddy Ricch and Young Thug)",Meek Mill,2018-11-30,2386577,77,125,hip hop philly rap pop pop rap rap southern hip hop trap music,86,3138303,11
Splashin,Rich The Kid,2019-03-22,71046895,80,27,atl hip hop pop pop rap rap southern hip hop trap music,86,1590617,3
Spoil My Night (feat. Swae Lee),Post Malone,2018-04-27,67942501,15,4,pop rap,96,13676414,4
Star Of The Show,Thomas Rhett,2016-10-28,2459416,45,190,contemporary country country country road modern country rock,81,2609541,10
Starboy,The Weeknd,2016-11-25,170355514,4,3,canadian contemporary r&b canadian pop pop rap,91,15691953,11
Stargazing,Travis Scott,2018-08-03,24640479,8,53,pop pop rap rap,94,5536215,8
Startender (feat. Offset and Tyga),A Boogie Wit da Hoodie,2018-12-14,69605976,59,17,rap trap music,89,2873724,12
Starving,Hailee Steinfeld,2016-07-22,67117857,17,18,dance pop pop post-teen pop,83,4135737,7
Stay,Post Malone,2018-04-27,87607769,7,6,pop rap,96,13676414,4
Stay (with Alessia Cara),Zedd,2017-02-23,151382376,7,12,complextro dance pop edm german techno pop post-teen pop tropical house,85,4255585,2
Stay Blessed,Bryson Tiller,2017-05-26,2043459,7,82,hip hop pop pop rap r&b rap trap music,80,3361954,5
Stay Flo,Solange,2019-03-01,1619892,7,192,alternative r&b escape room hip pop neo soul pop r&b urban contemporary,72,733708,3
Stay With Me,Sam Smith,2014-01-01,1250558,7,171,pop post-teen pop,90,8454480,1
Stay Woke (feat. Miguel),Meek Mill,2018-06-25,1655072,7,154,hip hop philly rap pop pop rap rap southern hip hop trap music,86,3138303,6
Stepping Stone,Eminem,2018-08-31,11440399,42,14,detroit hip hop g funk hip hop rap,94,26562345,8
Still Got Time,ZAYN,2017-03-23,21867847,66,62,dance pop electropop pop post-teen pop,83,7755413,3
Stir Fry,Migos,2018-01-26,175331408,8,2,atl hip hop pop pop rap rap southern hip hop trap music,87,8747515,1
Stranger Things,Joyner Lucas,2018-02-25,5563051,91,157,boston hip hop hip hop pop rap rap,78,686068,2
Strangers,Halsey,2017-06-02,5483206,100,67,dance pop electropop etherpop indie poptimism pop post-teen pop,92,6112026,6
Strip That Down,Liam Payne,2017-05-18,126917451,10,13,dance pop edm pop post-teen pop tropical house,78,3375218,5
Stunting Ain't Nuthin (feat. Slim Jxmmi & Young Dolph),Gucci Mane,2017-10-13,1975188,95,88,atl hip hop dirty south rap hip hop pop pop rap rap southern hip hop trap music,87,2681382,10
Sucker,Jonas Brothers,2019-03-01,76704218,1,1,boy band dance pop pop post-teen pop,86,2141666,3
"Sucker For Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,2016-06-24,34205178,1,61,hip hop new orleans rap pop pop rap rap trap music,91,7813748,6
Sucker for You,Matt Terry,2017-10-13,5817847,1,150,talent show,58,108316,10
Sugar Wraith,Post Malone,2018-04-27,24177616,57,21,pop rap,96,13676414,4
Suge,DaBaby,2019-03-01,17218415,22,18,nc hip hop rap southern hip hop trap music,81,212281,3
Summer Bummer (feat. A$AP Rocky & Playboi Carti),Lana Del Rey,2017-07-21,3547395,84,66,dance pop electropop pop,84,8171473,7
Summer Days (feat. Macklemore & Patrick Stump of Fall Out Boy),Martin Garrix,2019-04-25,2503668,84,73,big room edm pop progressive house tropical house,87,9984516,4
Summer Games,Drake,2018-06-29,20332361,28,17,canadian hip hop canadian pop hip hop pop rap rap,97,36572174,6
Summer Games,Drake,2018-06-29,20332361,84,17,canadian hip hop canadian pop hip hop pop rap rap,97,36572174,6
Summertime Magic,Childish Gambino,2018-07-11,23602340,44,13,atl hip hop hip hop pop rap rap,82,4924656,7
Summertime Magic,Childish Gambino,2018-07-11,23602340,84,13,atl hip hop hip hop pop rap rap,82,4924656,7
Suncity (feat. Empress Of),Khalid,2018-10-19,18559188,88,20,pop,97,6290476,10
Supastars,Migos,2018-01-26,5803652,53,37,atl hip hop pop pop rap rap southern hip hop trap music,87,8747515,1
Super Trapper,Future,2017-06-30,3896375,91,54,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772829,6
Supermarket Flowers,Ed Sheeran,2017-03-03,11384117,75,32,pop uk pop,93,43876361,3
Supplies,Justin Timberlake,2018-02-02,4044266,71,88,dance pop pop,82,7915588,2
Survival,Drake,2018-06-29,23826562,17,8,canadian hip hop canadian pop hip hop pop rap rap,97,36572177,6
Swalla (feat. Nicki Minaj & Ty Dolla $ign),Jason Derulo,2017-02-23,73614569,29,35,dance pop pop pop rap post-teen pop r&b,83,6747616,2
Swang,Rae Sremmurd,2016-08-12,131664661,26,23,hip hop pop pop rap rap southern hip hop trap music,80,4826363,8
Sweet Creature,Harry Styles,2017-05-12,9764718,93,54,dance pop pop post-teen pop,76,4330310,5
Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,2018-12-21,107085938,38,7,rap trap music,89,2873724,12
Swish Swish,Tyga,2018-07-25,15556379,46,52,hip hop pop pop rap rap trap music,88,4764426,7
T-Shirt,Migos,2017-01-27,159237944,19,6,atl hip hop pop pop rap rap southern hip hop trap music,87,8747515,1
TATI,6ix9ine,2018-11-27,39092618,46,50,emo rap,87,3900900,11
TIC TOC (feat. Lil Baby),6ix9ine,2018-11-27,25632863,53,8,emo rap,87,3900900,11
Take Back Home Girl (Feat. Tori Kelly),Chris Lane,2018-07-13,15428946,55,114,contemporary country country pop,68,219081,7
Take One,John Denver,1997-06-17,7819926,81,41,christmas folk folk rock mellow gold soft rock,72,616196,6
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",DJ Snake,2018-09-28,124456026,11,7,dance pop edm electronic trap pop tropical house,85,4597242,9
Takin' Shots,Post Malone,2018-04-27,39127255,29,12,pop rap,96,13676414,4
Taking A Walk,Trippie Redd,2018-08-10,63160194,46,13,rap trap music,86,2947103,8
Talk,Khalid,2019-04-05,81333484,8,7,pop,97,6290480,4
Talk Shit Like a Preacher,Future,2019-01-18,1555945,8,193,atl hip hop hip hop pop pop rap rap southern hip hop trap music,89,7772829,1
Talk Up,Drake,2018-06-29,20402736,8,12,canadian hip hop canadian pop hip hop pop rap rap,97,36572177,6
Talk Up,Drake,2018-06-29,20402736,20,12,canadian hip hop canadian pop hip hop pop rap rap,97,36572177,6
Talk Up (feat. Jay-Z),Drake,2018-06-29,1741451,8,137,canadian hip hop canadian pop hip hop pop rap rap,97,36572177,6
Talk Up (feat. Jay-Z),Drake,2018-06-29,1741451,20,137,canadian hip hop canadian pop hip hop pop rap rap,97,36572177,6
Talk You Out Of It,Florida Georgia Line,2019-02-15,4481389,8,192,contemporary country country country pop country road modern country rock,84,2797470,2
Talk You Out Of It,Florida Georgia Line,2019-02-15,4481389,78,192,contemporary country country country pop country road modern country rock,84,2797470,2
Tap Out (feat. Jeremih),Jay Rock,2018-06-15,1508945,89,198,conscious hip hop gangster rap hip hop pop rap rap southern hip hop trap music underground hip hop,75,571173,6
Taped up Heart (feat. Clara Mae),KREAM,2016-10-14,6746326,89,151,houston rap rap southern hip hop trap music underground hip hop vapor trap,64,186060,10
Taste (feat. Offset),Tyga,2018-05-16,240107066,8,4,hip hop pop pop rap rap trap music,88,4764426,5
Teenage Fever,Drake,2017-03-18,39242108,35,14,canadian hip hop canadian pop hip hop pop rap rap,97,36572177,3
Tell Me You Love Me,Demi Lovato,2017-09-29,46605912,53,38,dance pop pop post-teen pop r&b,86,13641107,9
Tempo (feat. Missy Elliott),Lizzo,2019-04-19,3190838,88,171,dance pop escape room minnesota hip hop pop trap queen,84,334762,4
Temptation,Joey Bada$$,2017-04-07,2022943,76,129,conscious hip hop gangster rap hip hop pop rap rap southern hip hop trap music underground hip hop,76,1349679,4
Tequila,Dan + Shay,2018-01-10,125650613,21,60,contemporary country,79,875115,1
Testimony,Kodak Black,2018-12-14,3863896,74,132,miami hip hop rap trap music,88,4655966,12
That's A Rack,Lil Uzi Vert,2019-04-09,13092682,76,41,philly rap rap trap music,90,6283576,4
That's What I Like,Bruno Mars,2016-11-17,233207364,1,3,dance pop pop post-teen pop,90,20949782,11
The Christmas Song (Merry Christmas To You),Nat King Cole,1962-01-01,32812248,11,24,adult standards christmas lounge vocal jazz,67,1003918,1
The Christmas Song (Merry Christmas To You),Nat King Cole,1962-01-01,32812248,55,24,adult standards christmas lounge vocal jazz,67,1003918,1
The Cure,Lady Gaga,2017-04-16,33705030,39,44,dance pop pop,90,7502475,4
The Cut Off (feat. kiLL edward),J. Cole,2018-04-20,17151455,28,11,conscious hip hop hip hop nc hip hop pop rap rap,90,8232407,4
The Fighter,Keith Urban,2016-05-06,1150479,38,189,australian country contemporary country country country road,75,3079091,5
The Games We Play,Pusha T,2018-05-25,4123808,100,82,gangster rap hip hop pop rap rap southern hip hop trap music underground hip hop,75,1273324,5
The Heart Part 4,Tina Charles,1997-06-06,16098168,22,10,disco hi-nrg,48,38141,6
The Middle,Zedd,2018-01-23,201329495,5,7,complextro dance pop edm german techno pop post-teen pop tropical house,85,4255585,1
The Night We Met,Lord Huron,2015-04-07,48807073,84,48,folk-pop indie folk indie pop new americana stomp and holler,74,508391,4
The One,Joji,2018-10-26,28207731,78,18,alternative r&b viral pop,82,1201819,10
The Plan,DaniLeigh,2018-11-30,3143137,96,120,alternative r&b deep pop r&b pop,66,104764,11
The Race,Tay-K,2017-12-14,71541614,44,35,cali rap rap trap music underground hip hop vapor trap,69,1356256,12
The Ringer,Eminem,2018-08-31,41233209,8,2,detroit hip hop g funk hip hop rap,94,26562349,8
The Way Life Goes (feat. Nicki Minaj & Oh Wonder) - Remix,Lil Uzi Vert,2017-11-03,19593488,24,62,philly rap rap trap music,90,6283576,11
The Way Life Goes (feat. Oh Wonder),Lil Uzi Vert,2017-08-25,176731665,24,8,philly rap rap trap music,90,6283576,8
The Ways (with Swae Lee),Kendrick Lamar,2018-02-09,28715570,63,12,conscious hip hop hip hop pop rap rap west coast rap,90,12383502,2
The Weekend - Funk Wav Remix,SZA,2017-12-15,19728458,29,98,hip hop pop pop rap r&b rap,84,2533874,12
There's Nothing Holdin' Me Back,Shawn Mendes,2017-04-20,104435153,6,29,canadian pop dance pop pop post-teen pop viral pop,91,16547886,4
This Feeling,The Chainsmokers,2018-12-14,39244034,50,104,dance pop edm electropop pop tropical house,89,12074119,12
This Is America,Childish Gambino,2018-05-06,101400151,1,1,atl hip hop hip hop pop rap rap,82,4924656,5
This Town,Niall Horan,2017-10-20,15088083,24,112,australian pop dance pop neo mellow pop post-teen pop,78,3646474,10
Thotiana,Blueface,2018-12-18,86543178,8,9,cali rap trap music,82,535491,12
"Thotiana (feat. Cardi B, YG) [Remix]",Blueface,2019-02-18,8670090,8,87,cali rap trap music,82,535491,2
Thought I Knew You (feat. The Weeknd),Nicki Minaj,2018-08-10,1832291,98,139,dance pop hip pop pop pop rap post-teen pop r&b,91,15163011,8
Three,Dominic Fike,2018-10-16,1687350,100,118,alternative pop rock,77,66736,10
Thriller,Michael Jackson,1982-11-30,4914351,31,70,pop,85,10044330,11
Thru Your Phone,Cardi B,2018-04-06,10133922,50,40,pop rap,92,7971814,4
Thunder,Imagine Dragons,2017-06-23,248193506,4,21,modern rock rock,91,18576775,6
Thunderclouds,Sia,2019-04-12,25018016,4,50,australian dance australian pop pop,89,11822297,4
Thunderclouds,Sia,2019-04-12,25018016,67,50,australian dance australian pop pop,89,11822297,4
Tic Tac Toe (feat. Kodak Black),Meek Mill,2018-11-30,2739891,72,95,hip hop philly rap pop pop rap rap southern hip hop trap music,86,3138303,11
Time (feat. Meek Mill),Lil Baby,2018-11-30,3596886,62,55,atl hip hop atl trap rap trap music,88,2073903,11
Timeless (DJ SPINKING),A Boogie Wit da Hoodie,2016-10-28,16184481,62,125,rap trap music,89,2873724,10
Timeless (DJ SPINKING),A Boogie Wit da Hoodie,2016-10-28,16184481,86,125,rap trap music,89,2873724,10
Too Good At Goodbyes,Sam Smith,2017-11-03,90795266,4,5,pop post-teen pop,90,8454484,11
Too Much Sauce,DJ Esco,2016-08-19,11779686,50,95,atl hip hop rap southern hip hop trap music,59,192205,8
Too Much To Ask,Niall Horan,2017-10-20,17849331,66,56,australian pop dance pop neo mellow pop post-teen pop,78,3646474,10
Took His Time,Lil Wayne,2018-09-28,6627568,65,35,hip hop new orleans rap pop pop rap rap trap music,91,7813750,9
Top Off,Gunna,2018-02-02,13136683,22,27,atl hip hop hip hop pop rap rap southern hip hop trap music,88,1058878,2
Topanga,Trippie Redd,2018-11-09,70068175,52,11,rap trap music,86,2947103,11
Toxic Waste,Trippie Redd,2018-11-09,4790766,98,52,rap trap music,86,2947103,11
Transportin',Kodak Black,2017-08-18,62985636,46,37,miami hip hop rap trap music,88,4655966,8
Trap Trap Trap,Fetty Wap,2015-09-25,4555519,97,100,hip hop new jersey rap pop pop rap rap southern hip hop trap music,78,3380131,9
Trauma,P!nk,2017-10-13,2551199,61,108,dance pop pop post-teen pop r&b,88,6308358,10
